ID,gpt_4_summ,gpt_4_tags
23,Emma is not hungry and doesn't want Will to cook dinner. She will be home soon and will inform Will upon arrival.,O O O O O O O O O O O O O O O O O O O O O O O
24,Jane is in Warsaw and will meet Ollie for lunch on Friday. She's busy with her trip to Morocco and suggests tea at 6pm instead.,
25,Jane is in Warsaw and will meet Ollie for lunch on Friday. Jane is busy with her trip to Morocco and suggests tea at 6pm instead.,
26,Jane is in Warsaw and will meet Ollie for lunch on Friday. Jane is busy with her trip to Morocco and proposes tea at 6pm.,
27,Jane is in Warsaw and will meet Ollie for lunch on Friday. Ollie mentioned a party and a strange call about whisky. Jane can't make lunch but suggests tea at 6pm.,
28,Jane is in Warsaw and will meet Ollie for lunch on Friday. Jane is busy and suggests tea at 6pm after her courses.,O O O O O O O O O O O O O O O O O O O O O O O O O
29,Jane is in Warsaw and will meet Ollie for lunch on Friday. Jane is busy and suggests tea at 6pm after her courses.,O O O O O O O O O O O O O O O O O O O O O O O O O
30,Hilary has the keys and will meet others at lunch or after. Benjamin plans to take keys at lunchtime before a nap.,O O O O O O O O O O O O O O O O O O O O O O O O
31,Hilary has the keys and will meet others at lunch or after. Benjamin plans to take keys at lunchtime before a nap.,O O O O O O O O O O O O O O O O O O O O O O O O
32,Hilary has the keys and offers to meet at lunch or after. Benjamin plans to take keys at lunchtime. They're meeting French colleagues at La Cantina.,
33,Hilary has the keys and will meet others at lunch or after. Benjamin plans to take keys at lunchtime for a nap.,O O O O O O O O O O O O O O O O O O O O O O O O
34,Hilary has the keys and offers to meet at lunch or after. Benjamin plans to take keys at lunchtime. They're meeting French colleagues at La Cantina.,
35,Hilary has the keys and will meet others at lunch or after. Benjamin plans to take keys at lunchtime for a nap.,O O O O O O O O O O O O O O O O O O O O O O O O
36,Max inquires about online clothing stores and Payton shares several. Payton enjoys shopping but resists buying everything due to financial reasons.,
37,Payton suggests multiple sites for clothes shopping to Max. Payton enjoys shopping but refrains from buying everything. She loves reading books.,
38,Max inquires about online clothing stores and Payton shares several. Payton enjoys shopping but resists buying everything due to financial reasons.,
39,Max inquires about online clothing stores and Payton shares several. Payton enjoys shopping but refrains from buying everything due to financial reasons.,
40,Max inquires about online clothing stores and Payton shares several. Payton enjoys shopping but refrains from buying everything due to financial reasons.,
41,Payton suggests multiple sites to Max for buying clothes. Payton enjoys shopping but refrains from buying everything. She struggles to resist buying clothes and books.,
42,"Rita and Tina are tired and struggling to stay awake at work, with several hours still left in their shifts.",O O O O O O O O O O O O O O O O O O O O
43,"Rita and Tina are tired and struggling to stay awake at work, expressing dissatisfaction and boredom with their jobs.",O O O O O O O O O O O O O O O O O O O O
44,"Rita and Tina are tired and struggling to stay awake at work, expressing dissatisfaction and boredom with their jobs.",O O O O O O O O O O O O O O O O O O O O
45,"Rita and Tina are tired and struggling to stay awake at work, expressing dissatisfaction and boredom with their jobs.",O O O O O O O O O O O O O O O O O O O O
46,"Rita and Tina are extremely tired and bored at work, struggling to stay awake and dreading the remaining hours.",O O O O O O O O O O O O O O O O O O O O
47,"Rita and Tina are tired and struggling to stay awake at work, expressing dissatisfaction and boredom with their jobs.",O O O O O O O O O O O O O O O O O O O O
48,"Beatrice is shopping and offers to buy Leo a scarf. Despite Leo's refusal, Beatrice insists on buying it for him.",O O O O O O O O O O O O O O O O O O O O
49,"Beatrice is shopping and offers to buy Leo a scarf. Despite Leo's refusal, Beatrice insists on buying it for him.",O O O O O O O O O O O O O O O O O O O O
50,"Beatrice is shopping and offers to buy Leo a scarf. Despite Leo's refusal, Beatrice insists on buying it for him.",O O O O O O O O O O O O O O O O O O O O
51,"Beatrice is shopping and offers to buy Leo a scarf. Despite Leo's refusal, Beatrice insists on buying it for him.",O O O O O O O O O O O O O O O O O O O O O O
52,"Beatrice is shopping and offers to buy Leo a scarf. Despite Leo's refusal, Beatrice insists on buying it for him.",O O O O O O O O O O O O O O O O O O O O
53,"Beatrice is shopping and offers to buy Leo a scarf. Despite Leo's refusal, Beatrice insists on buying it for him.",O O O O O O O O O O O O O O O O O O O O
54,Ivan invites Eric to his brother's wedding. Eric is unsure due to home responsibilities and parental permission. Ivan offers to talk to Eric's parents.,O O O O O O O O O O O O O O O O O O O O O O O O O
55,Ivan invites Eric to his brother's wedding. Eric is unsure due to home responsibilities and parental permission. Ivan offers to handle his parents.,O O O O O O O O O O O O O O O O O O O O O O O O
56,Ivan invites Eric to his brother's wedding. Eric is unsure due to home responsibilities and parental permission. Ivan offers to talk to Eric's parents.,O O O O O O O O O O O O O O O O O O O O O O O O O
57,Ivan invites Eric to his brother's wedding. Eric is unsure due to home responsibilities and parental permission. Ivan offers help.,O O O O O O O O O O O O O O O O O O O O O O
58,Ivan invites Eric to his brother's wedding. Eric is unsure due to home responsibilities and parental permission. Ivan offers to talk to Eric's parents.,O O O O O O O O O O O O O O O O O O O O O O O O O
59,Ivan invites Eric to his brother's wedding. Eric is unsure due to home responsibilities and parental permission. Ivan offers help.,O O O O O O O O O O O O O O O O O O O O O O O
60,"Wanda proposes a party and needs Gina's help for preparations, including grocery shopping using Gina's father's car on Friday.",O O O O O O O O O O O O O O O O O O O O O O O O O
61,"Wanda wants to throw a party and needs Gina's help for groceries. They plan to go on Friday, if Gina's father agrees.",O O O O O O O O O O O O O O O O O O O O O O O O O O
62,"Wanda wants to throw a party and needs Gina's help for groceries. They plan to go on Friday, if Gina's father agrees.",O O O O O O O O O O O O O O O O O O O O O O O O O
63,"Wanda wants to throw a party and needs Gina's help for groceries. They plan to go on Friday, if Gina's father agrees.",O O O O O O O O O O O O O O O O O O O O O O O O O
64,Wanda proposes a party and needs Gina's help for preparations. They plan to use Gina's father's car for groceries on Friday.,O O O O O O O O O O O O O O O O O O O O O O O O
65,"Wanda wants to throw a party and needs Gina's help for groceries. They plan to go on Friday, if Gina's father agrees.",O O O O O O O O O O O O O O O O O O O O O O O O
66,Martin won two cinema tickets from a movie magazine on Facebook by writing a review. They plan to watch a new film with Redford.,O O O O O O O O O O O O O O O O O O O O O O O O O
67,Martin won two cinema tickets from a movie magazine on Facebook by writing a review. They plan to watch a new film with Redford.,O O O O O O O O O O O O O O O O O O O O O O O O O
68,Martin won two cinema tickets from a movie magazine on Facebook by writing a review. They plan to watch a new film with Redford.,O O O O O O O O O O O O O O O O O O O O O O O O O
69,Martin won two cinema tickets from a movie magazine on Facebook by writing a review. They plan to watch a new film with Redford.,O O O O O O O O O O O O O O O O O O O O O O O O O
70,Martin won two cinema tickets from a movie magazine on Facebook by writing a review. They plan to watch a new film with Redford.,O O O O O O O O O O O O O O O O O O O O O O O O O
71,Martin won two cinema tickets from a movie magazine on Facebook by writing a review. They plan to watch a new film with Redford.,O O O O O O O O O O O O O O O O O O O O O O O O O
72,"Charlee is studying Portuguese theatre at university and preparing a Polish play translated into Portuguese, written by Mrożek.",O O O O O O O O O O O O O O O O O O O O
73,"Charlee is studying Portuguese theatre at university and preparing a Polish play translated into Portuguese, written by Mrożek.",O O O O O O O O O O O O O O O O O O O O
74,"Charlee is studying Portuguese theatre at university and preparing a Polish performance translated into Portuguese, written by Mrożek.",O O O O O O O O O O O O O O O O O O O O
75,"Charlee is studying Portuguese theatre at university and preparing a Polish play translated into Portuguese, written by Mrożek.",O O O O O O O O O O O O O O O O O O O O O O
76,"Charlee is studying Portuguese theatre at university and preparing a Polish performance translated into Portuguese, written by Mrożek.",O O O O O O O O O O O O O O O O O O O O
77,"Charlee is studying Portuguese theatre at university and preparing a Polish performance translated into Portuguese, written by Mrożek.",O O O O O O O O O O O O O O O O O O O O
78,"Tom reveals Ella rented a car for their journey, making it faster. Mary approves.",O O O O O O O O O O O O O O
79,"Tom reveals Ella rented a car for their journey, which Ella believes will speed things up.",O O O O O O O O O O O O O O O O
80,Tom reveals Ella rented a car for faster travel. Mary approves of the decision.,O O O O O O O O O O O O
81,"Tom reveals Ella rented a car for their journey, making it faster.",O O O O O O O O O O O O
82,"Tom reveals Ella rented a car for their journey, making it faster.",O O O O O O O O O O O O
83,"Tom reveals Ella rented a car for their journey, making it faster. Mary approves of the decision.",O O O O O O O O O O O O O O O O
84,Luke joins Paul's Netflix family and will wire monthly payments. Paul will provide login details on Sunday. Paul is on holiday.,O O O O O O O O O O O O O O O O O O O O O O O O O
85,Luke joins Paul's Netflix family and will receive login details on Sunday. Luke will wire monthly payments to Paul's bank account.,O O O O O O O O O O O O O O O O O O O O O O
86,Luke joins Paul's Netflix family and will receive login details on Sunday. Luke will wire monthly payments to Paul's bank account.,O O O O O O O O O O O O O O O O O O O O O O O O
87,Luke joins Paul's Netflix family and will receive login details on Sunday. Luke will wire monthly payments to Paul's bank account.,O O O O O O O O O O O O O O O O O O O O O O O O
88,Luke joins Paul's Netflix family and will receive login details on Sunday. Luke will wire monthly payments to Paul's bank account.,O O O O O O O O O O O O O O O O O O O O O O O O
89,Luke joins Paul's Netflix family and will wire monthly payments. Paul will provide login details on Sunday. Paul is on holiday.,O O O O O O O O O O O O O O O O O O O O O O O O O
90,"Greg and Betsy both have to work late. Greg asks Betsy to pick up Johnny, but she can't as Tuesdays are Greg's days.",O O O O O O O O O O O O O O O O O O O O O O O O
91,Greg and Betsy both have to work late and are unsure who will pick up their son Johnny from kindergarten.,O O O O O O O O O O O O O O O O O O O O
92,"Greg and Betsy both have to work late, creating a conflict about who will pick up their son Johnny from kindergarten.",O O O O O O O O O O O O O O O O O O O O
93,"Greg and Betsy both have to work late, creating a conflict about who will pick up their son Johnny from kindergarten.",O O O O O O O O O O O O O O O O O O O O
94,"Greg and Betsy both have to work late. Greg asks Betsy to pick up Johnny from kindergarten, but she can't.",O O O O O O O O O O O O O O O O O O O O
95,"Greg and Betsy both have to work late, creating a conflict about who will pick up their son Johnny from kindergarten.",O O O O O O O O O O O O O O O O O O O O
96,"Ethan, Toby, and Marshall are teasing Scott, who retaliates by saying they are the same.",O O O O O O O O O O O O O O O O O O
97,"Ethan, Toby, and Marshall are teasing Scott, who retaliates by saying they are the same.",O O O O O O O O O O O O O O O O
98,"Ethan, Toby, and Marshall are teasing Scott. Scott retaliates by saying they are the same.",O O O O O O O O O O O O O O O O O O
99,"Ethan, Toby, and Marshall are teasing Scott, who retaliates by saying they are the same.",O O O O O O O O O O O O O O O O
